Period,Passenger,GDPIndex,PopulationIndex
1/1/2006,4560756348,91.8,95.3
1/1/2007,4908388831,95.7,96.4
1/1/2008,4923148695,97.5,97.6
1/1/2009,4832530008,95.8,98.8
1/1/2010,5282775193,100,100
1/1/2011,5654990744,103.2,101.2
1/1/2012,5991817424,105.8,102.4
1/1/2013,6392539696,108.5,103.6
1/1/2014,6778574849,111.6,104.9
1/1/2015,7232229191,114.7,106
1/1/2016,7712458503,117.6,107.3
1/1/2017,8298863003,121.4,108.5
1/1/2018,8839491189,125.1,109.7
1/1/2019,9155145787,128,110.8
1/1/2020,,123.6,112
1/1/2021,,131,113.1
1/1/2022,,135,114.3
1/1/2023,,138,115.4
1/1/2024,,140.6,116.5
1/1/2025,,144.6,117.6
1/1/2026,,148.9,118.7
1/1/2027,,153,119.7
1/1/2028,,157,120.8
1/1/2029,,160.9,121.8
1/1/2030,,164.6,122.8
1/1/2031,,168.3,123.9
1/1/2032,,171.9,124.9
1/1/2033,,175.5,125.8
